CODE,REGION,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,CATEGORIA,TIPO_DE_CATEGORIA,SUB_TIPO_CATEGORIA,URL,LATITUD,LONGITUD,REGION_GEOGRAFICA
11,CUSCO,CUSCO,CUSCO,Festividad Del Señor De Los Temblores,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=11,-71.9801,-13.5153,1
16,CAJAMARCA,CONTUMAZA,YONAN,Petroglifos De Yonan,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Petroglifos (Grabados en piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=16,-79.130786,-7.2531078579146415,1
17,AMAZONAS,CHACHAPOYAS,LEVANTO,Sitio Arqueológico De Collacruz,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=17,-77.90701353525948,-6.310457893297969,2
24,HUANUCO,LAURICOCHA,QUEROPALCA,Nevado De Yerupajá De Queropalca,SITIOS NATURALES,MONTANAS,Nevado,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=24,-76.90523484,-10.26842392998,1
25,HUANUCO,LAURICOCHA,QUEROPALCA,Cordillera Huayhuash - Huánuco,SITIOS NATURALES,MONTANAS,Cordillera,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=25,-76.88232421875,-10.21221925,1
29,APURIMAC,AYMARAES,CARAYBAMBA,Andenerías De Caraybamba ,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Andenes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=29,-73.146075710874,-14.3795384092317,1
30,APURIMAC,COTABAMBAS,CHALLHUAHUACHO, Sitio Arqueológico De Marcapuchungo,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=30,-72.24641025066376,-14.118602157492754,1
31,APURIMAC,ABANCAY,ABANCAY,Puente Colonial Pachachaca,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Puentes,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=31,-72.93724536895,-13.66304310483,1
32,APURIMAC,ABANCAY,CURAHUASI,Templo Santa Catalina De Curahuasi,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=32,-72.6959277777778,-13.542775,1
33,APURIMAC,AYMARAES,CHALHUANCA,Templo De Chuquinga,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=33,-73.2564220017,-14.29133333333,1
34,APURIMAC,CHINCHEROS,COCHARCAS,Templo Colonial De Cocharcas,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Templo,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=34,-73.73803403439331,-13.611938030618076,1
36,APURIMAC,AYMARAES,CHALHUANCA,Baños Termales De Pincahuacho,SITIOS NATURALES,AGUA TERMOMINERAL,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=36,-73.276745,-14.283773,1
37,ICA,PISCO,HUMAY,Centro Administrativo Tambo Colorado,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=37,-75.82944777203284,-13.705141030751882,0
42,JUNIN,JAUJA,APATA,Laguna De Pomacocha,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=42,-75.252222,-11.785833,1
48,PIURA,PIURA,CATACAOS,Pueblo Simbilá,MANIFESTACIONES CULTURALES,PUEBLOS,Artesanales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=48,-80.65157890319824,-5.246814583692445,0
49,PIURA,PIURA,PIURA,Iglesia Nuestra Señora Del Carmen,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=49,-80.62566608190536,-5.193248647927614,0
50,PIURA,PIURA,PIURA,Parque Ecológico Kurt Beer,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Parques,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=50,-80.66737309098244,-5.208107683417542,0
61,PIURA,SECHURA,SECHURA,Reserva Nacional Illescas,SITIOS NATURALES,AREAS PROTEGIDAS,Reservas Nacionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=61,-81.09753973782063,-5.9744195697833975,0
62,PIURA,SECHURA,VICE,Manglares San Pedro De Vice,SITIOS NATURALES,COSTAS,Manglares,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=62,-80.88067308068275,-5.545027261979392,0
63,PIURA,SECHURA,VICE,Playa San Pablo,SITIOS NATURALES,COSTAS,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=63,-80.94049,-5.44043,0
66,PIURA,SECHURA,CRISTO NOS VALGA,Laguna Ñapique,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=66,-80.6909966468811,-5.5326752935872365,0
68,PIURA,SECHURA,SECHURA,Estuario De Virrilá,SITIOS NATURALES,CUERPO DE AGUA,Humedales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=68,-80.84821701049806,-5.837882172135044,0
69,PIURA,MORROPON,CHULUCANAS,Pueblo Artesanal La Encantada,MANIFESTACIONES CULTURALES,PUEBLOS,Artesanales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=69,-80.19854575395584,-5.093196353473787,0
70,PIURA,PAITA,COLAN,Iglesia San Lucas De Colán,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=70,-81.05746150016786,-5.007284748778732,0
72,PIURA,TALARA,LA BREA,Playa Punta Balcones,SITIOS NATURALES,COSTAS,Puntas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=72,-81.32556438446045,-4.679214286254906,0
74,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Aguas Sulfurosas De Oromina,SITIOS NATURALES,AGUA TERMOMINERAL,Ojos de agua,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=74,-77.00390741229057,-6.067984358038256,2
85,AMAZONAS,BAGUA,ARAMANGO,Catarata Numparket,SITIOS NATURALES,CAIDAS DE AGUA,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=85,-78.33379,-5.493377,2
87,AMAZONAS,UTCUBAMBA,YAMON,Pinturas Rupestres De Yamon,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Pintura Rupestre,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=87,-78.52254614227265,-6.063139253787526,2
88,SAN MARTIN,SAN MARTIN,SAUCE,Lago Sauce (Laguna Azul),SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=88,-76.21833801269531,-6.693080464804169,2
90,SAN MARTIN,SAN MARTIN,CHAZUTA,Cascada De Tununtunumba,SITIOS NATURALES,CAIDAS DE AGUA,Cascadas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=90,-76.11749999999,-6.541111111111,2
94,SAN MARTIN,SAN MARTIN,LA BANDA DE SHILCAYO,Cataratas De Ahuashiyacu,SITIOS NATURALES,CAIDAS DE AGUA,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=94,-76.307498,-6.453759,2
96,LA LIBERTAD,TRUJILLO,HUANCHACO,Complejo Arqueológico Chan Chan,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=96,-79.0696308016777,-8.097624182657944,0
100,ANCASH,HUAYLAS,CARAZ,Sitio Arqueológico De Tumshukaiko,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=100,-77.81460725396727,-9.037916222714118,0
104,LA LIBERTAD,SANTIAGO DE CHUCO,QUIRUVILCA,Cuento La Laguna Del Toro,FOLCLORE,CREENCIAS POPULARES,Cuentos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=104,-79.0335,-8.1095,0
109,LA LIBERTAD,ASCOPE,MAGDALENA DE CAO,Complejo Arqueológico El Brujo,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=109,-79.30524200000002,-7.911121903706125,0
114,LA LIBERTAD,TRUJILLO,MOCHE,Huacas Del Sol Y La Luna,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=114,-78.99200865029718,-8.13636524168037,0
115,LA LIBERTAD,TRUJILLO,HUANCHACO,Balneario De Huanchaco,SITIOS NATURALES,COSTAS,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=115,-79.1215717792511,-8.07869026497998,0
125,LA LIBERTAD,PACASMAYO,GUADALUPE,Complejo Arqueológico De Pakatnamú,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=125,-79.5819,-7.3151,0
126,LA LIBERTAD,SANTIAGO DE CHUCO,CACHICADAN,Campo Termal Ojo De Aguas Calientes,SITIOS NATURALES,AGUA TERMOMINERAL,Ojos de agua,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=126,-78.14302414655685,-8.093125798052004,0
127,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,Laguna Sausacocha,SITIOS NATURALES,CUERPO DE AGUA,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=127,-77.98433125019073,-7.800704039251577,0
130,LA LIBERTAD,TRUJILLO,SIMBAL,Fiesta Patronal Del Señor De La Piedad,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=130,-78.8149,-7.97679,0
132,LA LIBERTAD,CHEPEN,CHEPEN,Cerro Chepén - Vía Crusis,MANIFESTACIONES CULTURALES,OTROS,Esculturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=132,-79.41132900000002,-7.214511,0
134,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,Iglesia Matriz De San Pedro De Lloc,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=134,-79.50466050429918,-7.431925937088454,0
135,LA LIBERTAD,PACASMAYO,SAN PEDRO DE LLOC,El Pellón Sanpedrano,FOLCLORE,ARTESANIA Y ARTES,"Tejidos(lanas, fibras de animales, fibra vegetal. Etc)",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=135,-79.5039,-7.4279,0
140,LA LIBERTAD,PACASMAYO,SAN JOSE,Bosque Natural El Cañoncillo ,SITIOS NATURALES,AREAS PROTEGIDAS,Bosques de protección,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=140,-79.42158891,-7.37232825,0
141,SAN MARTIN,MOYOBAMBA,CALZADA,Morro De Calzada,SITIOS NATURALES,MONTANAS,Cerros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=141,-77.03750610351568,-6.021409369108987,2
143,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Aguas Termales San Mateo,SITIOS NATURALES,AGUA TERMOMINERAL,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=143,-76.970802,-6.07481,2
147,LORETO,MAYNAS,IQUITOS,Iglesia Matriz De Iquitos,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=147,-73.2448277,-3.7494471115295824,2
148,LORETO,MAYNAS,IQUITOS,Casa Morey,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Casa de Valor Arquitectónico,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=148,-73.242046,-3.746774,2
149,LORETO,MAYNAS,IQUITOS,Ex Colegio San Agustín,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Escuela o Colegio,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=149,-73.24255010649344,-3.74898505882912,2
150,LORETO,MAYNAS,PUNCHANA,Mirador De La Comunidad De Independencia - Punchana,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Miradores,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=150,-73.23462,-3.65113,2
151,LORETO,MAYNAS,SAN JUAN BAUTISTA,Parque Turístico De Quistococha,REALIZACIONES TECNICAS CIENTIFICAS Y ARTISTICAS CONTEMPORANEAS,CENTROS CIENTIFICOS Y TECNICOS,Zoológicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=151,-73.32069396972656,-3.828286922895427,2
152,LORETO,MAYNAS,BELEN,Pueblo De Belén ,MANIFESTACIONES CULTURALES,PUEBLOS,Tradicionales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=152,-73.24794,-3.75788,2
155,LAMBAYEQUE,CHICLAYO,SANA,Complejo Arqueológico Huaca Rajada - Sipán,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=155,-79.60093122190898,-6.800793622533838,0
157,LAMBAYEQUE,CHICLAYO,PIMENTEL,Festival Caballito De Totora,ACONTECIMIENTOS PROGRAMADOS,EVENTOS,Festivales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=157,-79.9362,-6.83708,0
159,LAMBAYEQUE,LAMBAYEQUE,OLMOS,Quebrada De Los Boliches O Petroglifos Los Pipochinos,MANIFESTACIONES CULTURALES,SITIOS ARQUEOLOGICOS,Petroglifos (Grabados en piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=159,-79.681543,-5.98854,0
161,LAMBAYEQUE,CHICLAYO,ETEN PUERTO,Centenario Muelle De Puerto Eten,MANIFESTACIONES CULTURALES,ARQUITECTURA Y ESPACIOS URBANOS,Muelles,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=161,-79.86669,-6.93414,0
162,LAMBAYEQUE,CHICLAYO,REQUE,Semana Santa En Reque,ACONTECIMIENTOS PROGRAMADOS,FIESTAS,Fiestas religiosas-patronales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=162,-79.8181,-6.86449,0
